中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,920 Mbps,117760 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,270 Mbps,34611 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,52 ms,437 Mbps,56012 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,440 Mbps,56422 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,25 ms,490 Mbps,62771 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,55 ms,59 Mbps,7621 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,74 ms,348 Mbps,44646 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,504 Mbps,64512 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,388 Mbps,49664 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,64 ms,308 Mbps,39526 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,52 ms,8 Mbps,1108 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,48 ms,424 Mbps,54272 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,361 Mbps,46284 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,141 ms,447 Mbps,57241 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,57 ms,425 Mbps,54476 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,79 ms,406 Mbps,52019 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,263 Mbps,33689 kB/s
192.9.158.188,443,2a09:bac5:6443:1246::1d2:85,US,San Jose,隧道,55 ms,187 Mbps,23961 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,375 Mbps,48025 kB/s
158.101.193.246,443,2606:f240:f00:dd8d:0:5dec:4797:4e9c,US,Frankfurt,隧道,109 ms,100 Mbps,12800 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,52 ms,132 Mbps,16896 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,194 Mbps,24883 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,162 Mbps,20787 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,22 ms,279 Mbps,35737 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,192 Mbps,24678 kB/s
47.254.42.167,443,47.251.149.54,US,San Jose,隧道,52 ms,3 Mbps,458 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,97 ms,55 Mbps,7070 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,61 ms,1 Mbps,240 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,193 Mbps,24780 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,216 Mbps,27750 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,114 ms,45 Mbps,5820 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,46 Mbps,5963 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,68 ms,39 Mbps,5011 kB/s
143.47.184.133,443,98.98.166.178,US,Frankfurt,隧道,108 ms,128 Mbps,16486 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,118 ms,172 Mbps,22118 kB/s
144.22.252.124,443,144.22.252.124,BR,S
