中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,25 ms,81 Mbps,10444 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,572 Mbps,73216 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,106 ms,25 Mbps,3248 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,412 Mbps,52838 kB/s
35.230.79.26,443,35.212.196.48,US,Seattle,隧道,58 ms,517 Mbps,66252 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,56 ms,541 Mbps,69324 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,29 ms,68 Mbps,8815 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,506 Mbps,64819 kB/s
35.197.23.75,443,35.212.196.48,US,Seattle,隧道,58 ms,497 Mbps,63692 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,52 ms,452 Mbps,57958 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::26b:67,US,Los Angeles,隧道,61 ms,37 Mbps,4857 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,33 ms,832 Mbps,106496 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,200 Mbps,25702 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,125 ms,186 Mbps,23859 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,415 Mbps,53145 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,53 ms,270 Mbps,34611 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,30 ms,5 Mbps,715 kB/s
158.101.201.45,443,2606:f240:f00:dd8d:0:2c50:d676:2ce4,US,Frankfurt,隧道,123 ms,172 Mbps,22118 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,112 ms,46 Mbps,5979 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,140 ms,175 Mbps,22425 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,64 ms,39 Mbps,5066 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,206 Mbps,26419 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,124 ms,232 Mbps,29798 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,122 Mbps,15667 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,57 ms,417 Mbps,53452 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,106 ms,47 Mbps,6075 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Salt Lake City,隧道,63 ms,45 Mbps,5849 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,188 ms,127 Mbps,16281 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,140 ms,25 Mbps,3321 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,137 ms,141 Mbps,18124 kB/s
129.146.46.164,443,129.146.46.164,US,262 Mbps,33587 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,111 ms,22 Mbps,2935 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,72 ms,223 Mbps,28569 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,64 ms,479 Mbps,61337 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,122 ms,204 Mbps,26214 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,123 ms,87 Mbps,11161 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,110 ms,47 Mbps,6081 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,47 Mbps,6106 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,184 ms,41 Mbps,5281 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,349 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,194 ms,77 Mbps,9948 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,40 Mbps,5225 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,166 ms,92 Mbps,11776 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,36 Mbps,4735 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,213 ms,0 Mbps,86 kB/s
146.56.188.34,443,2607:a400:a:6c:0:c000:4ebf:afc1,US,Los Angeles,隧道,230 ms,77 Mbps,9976 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,34 Mbps,4460 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,236 ms,31 Mbps,3968 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,234 ms,32 Mbps,4112 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,208 ms,92 Mbps,11878 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,209 ms,71 Mbps,9131 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,213 ms,4 Mbps,550 kB/s
8.222.171.165,443,47.84.40.188,SG,Singapore,隧道,306 ms,47 Mbps,6129 kB/s
130.162.144.191,443,2a09:bac1:3f60::20b:87,KR,Seoul,隧道,203 ms,37 Mbps,4786 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,224 ms,77 Mbps,9892 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,240 ms,50 Mbps,6486 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,231 ms,92 Mbps,11878 kB/s
129.151.148.35,443,129.151.148.35,AE,Amsterdam,中转,232 ms,28 Mbps,3707 kB/s
152.70.71.23,443,152.70.71.23,IN,Singapore,中转,269 ms,31 Mbps,4059 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,234 ms,30 Mbps,3914 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,204 ms,0 Mbps,87 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,319 ms,0 Mbps,16 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,259 ms,0 Mbps,4 kB/s
