中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,976 Mbps,124928 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,55 ms,472 Mbps,60416 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,26 ms,56 Mbps,7260 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,412 Mbps,52736 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,49 ms,555 Mbps,71065 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,70 ms,483 Mbps,61849 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,21 ms,5 Mbps,758 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,147 Mbps,18841 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,52 ms,53 Mbps,6839 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,432 Mbps,55296 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,315 Mbps,40345 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,74 ms,480 Mbps,61542 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,76 ms,432 Mbps,55296 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,29 ms,60 Mbps,7760 kB/s
158.178.154.78,443,2a0b:21c0:1007:ca:0:f28a:edf4:45df,DE,Frankfurt,隧道,121 ms,180 Mbps,23142 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,113 ms,48 Mbps,6148 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,47 ms,8 Mbps,1129 kB/s
143.47.186.205,443,2a0b:21c0:100a:1b3:0:150:14dc:3434,DE,Frankfurt,隧道,122 ms,193 Mbps,24780 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,122 ms,204 Mbps,26112 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,111 ms,42 Mbps,5485 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,128 ms,200 Mbps,25702 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,99 ms,532 Mbps,68096 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,109 ms,191 Mbps,24473 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,137 ms,178 Mbps,22835 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,182 ms,92 Mbps,11776 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,70 ms,420 Mbps,53862 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,47 Mbps,6134 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,32 ms,44 Mbps,5646 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,60 ms,28 Mbps,3648 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,113 ms,42 Mbps,5413 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,133 ms,605 Mbps,77516 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,215 ms,2 Mbps,297 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,114 ms,78 Mbps,9999 kB/s
143.47.183.1,443,2a0b:21c0:100a:1fa:0:2906:3d99:7c35,DE,Frankfurt,隧道,132 ms,171 Mbps,21913 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,144 ms,37 Mbps,4805 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,291 Mbps,37273 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,120 ms,51 Mbps,6620 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,172 ms,47 Mbps,6091 kB/s
144.21.41.228,443,2a0b:21c0:100a:1b4:0:7d4e:8f74:a5c5,DE,Frankfurt,隧道,128 ms,193 Mbps,24780 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,132 ms,244 Mbps,31334 kB/s
138.2.144.1,443,2606:f240:f00:46c4:0:7292:7b3a:4b14,US,Frankfurt,隧道,127 ms,210 Mbps,26931 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,190 Mbps,24371 kB/s
149.129.8.215,443,47.88.8.186,US,4 Mbps,546 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,180 ms,100 Mbps,12800 kB/s
144.22.252.124,443,144.22.252.124,BR,S
