中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,28 ms,57 Mbps,7383 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,88 ms,339 Mbps,43417 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,67 ms,29 Mbps,3736 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,525 Mbps,67276 kB/s
158.101.222.102,443,2a0b:21c0:1007:1cb:0:81d:228e:41d8,DE,Frankfurt,隧道,106 ms,148 Mbps,18944 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,80 ms,284 Mbps,36352 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,69 ms,43 Mbps,5611 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,74 ms,378 Mbps,48435 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,46 ms,456 Mbps,58368 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,7 ms,474 Mbps,60723 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,74 ms,452 Mbps,57856 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,80 ms,308 Mbps,39424 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,420 Mbps,53760 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,143 ms,272 Mbps,34816 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,224 Mbps,28774 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,224 Mbps,28672 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,230 Mbps,29491 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,93 ms,97 Mbps,12492 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,32 ms,608 Mbps,77824 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,130 ms,232 Mbps,29696 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,88 ms,244 Mbps,31334 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,197 Mbps,25292 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,126 ms,212 Mbps,27238 kB/s
141.147.97.238,443,163.123.193.24,DE,Frankfurt,隧道,121 ms,76 Mbps,9746 kB/s
134.65.59.100,443,134.65.59.100,GB,London,中转,97 ms,38 Mbps,4904 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,114 ms,279 Mbps,35737 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,101 ms,34 Mbps,4372 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,103 ms,43 Mbps,5621 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,87 ms,117 Mbps,15052 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,105 ms,126 Mbps,16179 kB/s
141.147.114.188,443,98.98.166.178,AE,Frankfurt,隧道,117 ms,118 Mbps,15155 kB/s
141.147.30.10,443,98.98.156.22,AE,Frankfurt,隧道,91 ms,110 Mbps,14131 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,130 ms,228 Mbps,29184 kB/s
144.22.252.124,443,144.22.252.124,BR,S
