中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,562 Mbps,71987 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,273 Mbps,35020 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,238 Mbps,30515 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,73 ms,288 Mbps,36966 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,219 Mbps,28057 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,32 ms,529 Mbps,67788 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,30 ms,1 Mbps,219 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,47 ms,605 Mbps,77516 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,33 ms,436 Mbps,55910 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,62 ms,36 Mbps,4660 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,66 ms,317 Mbps,40652 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,101 ms,100 Mbps,12902 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,284 Mbps,36352 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,300 Mbps,38400 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,75 ms,305 Mbps,39116 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,52 ms,783 Mbps,100249 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,116 ms,307 Mbps,39321 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,64 ms,179 Mbps,22937 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,67 ms,296 Mbps,37888 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,316 Mbps,40448 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,73 ms,268 Mbps,34304 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,51 ms,454 Mbps,58163 kB/s
140.238.88.47,443,140.238.88.47,GB,London,中转,95 ms,267 Mbps,34201 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,80 ms,284 Mbps,36454 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,237 Mbps,30412 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,99 ms,48 Mbps,6200 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,228 Mbps,29286 kB/s
138.3.254.39,443,138.3.254.39,212 Mbps,27238 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,87 ms,19 Mbps,2447 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,89 ms,40 Mbps,5160 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,75 ms,34 Mbps,4410 kB/s
144.21.62.48,443,98.98.166.174,AE,Frankfurt,隧道,118 ms,152 Mbps,19456 kB/s
152.67.44.30,443,152.67.44.30,BR,S
