中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.230.47.17,443,150.230.47.17,US,San Jose,中转,105 ms,1176 Mbps,150528 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,70 ms,5 Mbps,704 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,31 ms,968 Mbps,123904 kB/s
35.197.23.75,443,34.82.144.89,US,Seattle,隧道,36 ms,572 Mbps,73216 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1120 Mbps,143360 kB/s
8.211.15.66,443,163.123.193.7,DE,Frankfurt,隧道,170 ms,132 Mbps,16896 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,45 ms,414 Mbps,53043 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,58 ms,360 Mbps,46080 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,61 ms,1008 Mbps,129024 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,98 ms,1096 Mbps,140288 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,53 ms,23 Mbps,3051 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,17 ms,392 Mbps,50176 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,349 Mbps,44748 kB/s
35.230.79.26,443,34.82.144.89,US,Seattle,隧道,56 ms,568 Mbps,72806 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,26 ms,52 Mbps,6690 kB/s
23.224.22.211,443,23.224.22.211,CN,Los Angeles,中转,54 ms,45 Mbps,5788 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,93 ms,1000 Mbps,128000 kB/s
34.82.76.253,443,34.168.34.122,US,Seattle,隧道,42 ms,558 Mbps,71475 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,38 ms,682 Mbps,87347 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,80 ms,686 Mbps,87859 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,142 ms,123 Mbps,15769 kB/s
138.2.157.81,443,2606:f240:f00:6acf:0:75d4:e723:40a7,US,Frankfurt,隧道,206 ms,96 Mbps,12390 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,131 ms,351 Mbps,44953 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,21 ms,660 Mbps,84582 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,33 ms,629 Mbps,80588 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,27 ms,5 Mbps,658 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,163 ms,95 Mbps,12185 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,138 ms,41 Mbps,5258 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,140 ms,112 Mbps,14336 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,162 Mbps,20787 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,163 ms,3 Mbps,414 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,180 ms,2 Mbps,359 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,163 ms,35 Mbps,4584 kB/s
138.3.254.39,443,138.3.254.39,122 Mbps,15667 kB/s
8.219.201.245,443,8.219.201.245,,colo.txt:Singapore,中转,0 ms,83 Mbps,10649 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,137 ms,132 Mbps,16998 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,139 ms,138 Mbps,17715 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,205 ms,385 Mbps,49356 kB/s
18.163.233.64,443,18.163.233.64,HK,Hong Kong,中转,156 ms,122 Mbps,15667 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,152 ms,84 Mbps,10854 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,173 ms,78 Mbps,10035 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,267 ms,104 Mbps,13312 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,173 ms,68 Mbps,8746 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,51 ms,78 Mbps,10035 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,49 ms,524 Mbps,67072 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,158 ms,109 Mbps,14028 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,164 ms,39 Mbps,5024 kB/s
64.110.88.46,443,64.110.88.46,KR,Seoul,中转,220 ms,113 Mbps,14540 kB/s
130.162.229.95,443,2a0b:21c0:1007:c8:0:1f32:930:5824,DE,Munich,隧道,149 ms,136 Mbps,17510 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,176 ms,72 Mbps,9304 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,163 ms,42 Mbps,5428 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,174 ms,78 Mbps,10035 kB/s
152.70.53.38,443,2a0b:21c0:1007:1ca:0:2d17:87ed:69c9,DE,Zurich,隧道,157 ms,124 Mbps,15974 kB/s
8.211.45.81,443,2a0b:21c0:1007:c8:0:2ea4:37d3:e44c,DE,Frankfurt,隧道,138 ms,136 Mbps,17408 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,173 ms,78 Mbps,10035 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,169 ms,8 Mbps,1125 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,115 Mbps,14745 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,223 ms,64 Mbps,8207 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,381 ms,72 Mbps,9342 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,174 ms,63 Mbps,8069 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,37 ms,200 Mbps,25702 kB/s
54.203.85.46,443,204.110.220.60,US,,隧道,43 ms,536 Mbps,68608 kB/s
34.70.91.86,443,34.70.91.86,US,,中转,52 ms,376 Mbps,48230 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,138 ms,64 Mbps,8265 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,266 ms,60 Mbps,7701 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,175 ms,65 Mbps,8401 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,174 ms,92 Mbps,11878 kB/s
34.150.180.124,443,34.150.180.124,US,,中转,59 ms,396 Mbps,50688 kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,56 ms,322 Mbps,41267 kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,61 ms,360 Mbps,46080 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,176 ms,67 Mbps,8674 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,42 ms,373 Mbps,47820 kB/s
18.237.22.14,443,18.237.22.14,US,,中转,69 ms,544 Mbps,69632 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,58 ms,396 Mbps,50790 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,139 ms,142 Mbps,18227 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,62 ms,364 Mbps,46592 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,140 ms,113 Mbps,14540 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,175 ms,13 Mbps,1682 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,140 ms,142 Mbps,18227 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,54 ms,476 Mbps,60928 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,139 ms,136 Mbps,17510 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,140 ms,132 Mbps,16896 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,187 ms,85 Mbps,10956 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,234 ms,51 Mbps,6618 kB/s
47.74.4.97,443,47.74.4.97,JP,Tokyo,中转,201 ms,0 Mbps,35 kB/s
129.146.84.236,443,2603:c020:1:f7ee:c1c2:dd13:5e25:4f26,US,Los Angeles,隧道,40 ms,453 Mbps,58060 kB/s
103.137.63.3,443,61.224.114.91,TW,,隧道,158 ms,109 Mbps,14028 kB/s
35.183.163.195,443,99.79.38.195,CA,,隧道,80 ms,276 Mbps,35430 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,131 ms,10 Mbps,1349 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,173 ms,78 Mbps,10035 kB/s
144.24.175.30,443,2606:f240:f00:5a42:0:f7a2:c1f:c209,US,Frankfurt,隧道,150 ms,111 Mbps,14233 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,29 ms,259 Mbps,33177 kB/s
141.147.147.28,443,104.28.206.113,JP,Osaka,隧道,242 ms,91 Mbps,11673 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,123 ms,45 Mbps,5874 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,32 ms,63 Mbps,8126 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,35 ms,56 Mbps,7186 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,224 ms,57 Mbps,7339 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,175 ms,64 Mbps,8267 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,235 ms,41 Mbps,5258 kB/s
8.217.64.144,443,8.217.64.144,HK,Hong Kong,中转,158 ms,95 Mbps,12185 kB/s
130.162.178.180,443,2a0b:21c0:1007:1c9:0:6a82:2525:b602,DE,Frankfurt,隧道,237 ms,86 Mbps,11059 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,167 ms,39 Mbps,5070 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,175 ms,54 Mbps,6949 kB/s
8.220.202.59,443,8.220.202.59,KR,Seoul,中转,138 ms,36 Mbps,4714 kB/s
47.91.95.181,443,2606:f240:f00:b2ed:0:5d1d:10a4:cfc4,US,Frankfurt,隧道,142 ms,128 Mbps,16486 kB/s
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,131 ms,42 Mbps,5423 kB/s
8.219.68.162,443,2001:470:35:b48::2,US,Singapore,隧道,175 ms,30 Mbps,3955 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,241 ms,80 Mbps,10240 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,174 ms,77 Mbps,9960 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,173 ms,71 Mbps,9135 kB/s
