中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,220 Mbps,28160 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,73 ms,259 Mbps,33177 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,512 Mbps,65638 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,47 Mbps,6129 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,73 ms,51 Mbps,6531 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,300 Mbps,38400 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,83 ms,231 Mbps,29593 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,221 Mbps,28364 kB/s
35.230.79.26,443,35.197.106.247,US,Seattle,隧道,69 ms,301 Mbps,38604 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,87 ms,11 Mbps,1516 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,81 ms,247 Mbps,31641 kB/s
192.18.150.121,443,192.18.150.121,CA,Toronto,中转,19 ms,783 Mbps,100249 kB/s
35.197.23.75,443,35.197.106.247,US,Seattle,隧道,77 ms,283 Mbps,36249 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,59 ms,382 Mbps,48947 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,15 ms,510 Mbps,65331 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,92 ms,128 Mbps,16486 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,104 ms,295 Mbps,37785 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,74 ms,232 Mbps,29696 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,211 Mbps,27033 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,263 Mbps,33689 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,148 ms,297 Mbps,38092 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,25 ms,412 Mbps,52838 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,45 ms,501 Mbps,64204 kB/s
