中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,53 ms,435 Mbps,55705 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,580 Mbps,74342 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,298 Mbps,38195 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,96 ms,488 Mbps,62464 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,24 ms,389 Mbps,49868 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,52 ms,391 Mbps,50073 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,58 Mbps,7516 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,69 ms,59 Mbps,7630 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,81 ms,383 Mbps,49049 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,18 ms,318 Mbps,40755 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,370 Mbps,47411 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,116 ms,440 Mbps,56422 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,53 ms,580 Mbps,74342 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,52 ms,109 Mbps,14028 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,71 ms,50 Mbps,6473 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,50 ms,53 Mbps,6821 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,157 ms,365 Mbps,46796 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,108 ms,440 Mbps,56422 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,74 ms,14 Mbps,1891 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,195 Mbps,24985 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,99 ms,42 Mbps,5439 kB/s
150.230.47.3,443,150.230.47.3,US,San Jose,中转,56 ms,43 Mbps,5567 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,94 ms,377 Mbps,48332 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,41 Mbps,5311 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,118 ms,47 Mbps,6076 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,156 Mbps,20070 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,162 Mbps,20787 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,70 ms,65 Mbps,8423 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,53 ms,150 Mbps,19251 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,100 ms,208 Mbps,26726 kB/s
130.61.23.77,443,130.61.23.77,196 Mbps,25088 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
152.67.44.30,443,152.67.44.30,BR,S
