中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,14 ms,518 Mbps,66355 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:a5,67 Mbps,8649 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1120 Mbps,143360 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,19 ms,1280 Mbps,163840 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,53 ms,627 Mbps,80281 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,55 ms,632 Mbps,80896 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,128 ms,41 Mbps,5282 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,64 ms,378 Mbps,48435 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,500 Mbps,64102 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,148 ms,125 Mbps,16076 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,293 Mbps,37580 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,275 Mbps,35225 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,43 ms,373 Mbps,47820 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,55 ms,49 Mbps,6315 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,30 ms,748 Mbps,95846 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,31 ms,532 Mbps,68096 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,134 ms,122 Mbps,15667 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,174 ms,125 Mbps,16076 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,155 ms,46 Mbps,5913 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,82 ms,404 Mbps,51814 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,164 ms,104 Mbps,13312 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,67 ms,44 Mbps,5725 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,68 ms,604 Mbps,77312 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,169 ms,45 Mbps,5855 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,137 ms,148 Mbps,19046 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,32 ms,872 Mbps,111616 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,85 ms,39 Mbps,4992 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,142 ms,44 Mbps,5755 kB/s
130.162.144.191,443,2a09:bac5:4751:1a14::299:1d,KR,Seoul,隧道,148 ms,40 Mbps,5221 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,152 ms,165 Mbps,21196 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,138 ms,139 Mbps,17817 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,163 ms,42 Mbps,5440 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,133 ms,207 Mbps,26521 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,153 ms,46 Mbps,5931 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,142 ms,183 Mbps,23449 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,210 ms,3 Mbps,418 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,162 ms,127 Mbps,16281 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,191 ms,42 Mbps,5428 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,185 ms,80 Mbps,10240 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,65 ms,40 Mbps,5181 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,40 ms,439 Mbps,56217 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,91 ms,47 Mbps,6126 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,150 ms,43 Mbps,5520 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,106 ms,35 Mbps,4512 kB/s
141.144.197.160,443,2606:f240:f00:dd8d:0:9974:4ed5:903b,US,Frankfurt,隧道,152 ms,137 Mbps,17612 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,163 ms,45 Mbps,5847 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,158 ms,47 Mbps,6106 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,88 ms,45 Mbps,5788 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,145 ms,152 Mbps,19558 kB/s
8.219.80.236,443,8.219.116.219,SG,Singapore,隧道,199 ms,22 Mbps,2911 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,183 ms,100 Mbps,12800 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,161 ms,3 Mbps,393 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,185 ms,100 Mbps,12902 kB/s
