中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,226 Mbps,28979 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,100 ms,329 Mbps,42188 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,87 ms,226 Mbps,28979 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,41 ms,565 Mbps,72396 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,73 ms,309 Mbps,39628 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,327 Mbps,41881 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,141 ms,279 Mbps,35737 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,280 Mbps,35942 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,91 ms,633 Mbps,81100 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,74 ms,308 Mbps,39526 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,66 ms,341 Mbps,43724 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,86 ms,288 Mbps,36966 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,89 ms,41 Mbps,5373 kB/s
130.162.166.245,443,98.98.156.14,DE,Frankfurt,隧道,92 ms,115 Mbps,14745 kB/s
130.162.167.229,443,2606:f240:f00:a683:0:18f6:9eeb:38b6,US,Frankfurt,隧道,90 ms,175 Mbps,22425 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,64 ms,24 Mbps,3086 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,139 ms,216 Mbps,27750 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,72 ms,290 Mbps,37171 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,44 Mbps,5719 kB/s
129.146.254.39,443,129.146.254.39,US,Los Angeles,中转,61 ms,13 Mbps,1728 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,92 ms,200 Mbps,25702 kB/s
132.226.31.178,443,2a09:bac5:60eb:1173::1bd:10a,US,Los Angeles,隧道,58 ms,44 Mbps,5757 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,58 ms,315 Mbps,40345 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,93 ms,176 Mbps,22528 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,89 ms,25 Mbps,3315 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,291 Mbps,37273 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,67 ms,232 Mbps,29798 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,321 Mbps,41164 kB/s
47.254.42.167,443,47.251.149.51,US,San Jose,隧道,68 ms,3 Mbps,471 kB/s
