中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,126 ms,44 Mbps,5635 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,167 ms,36 Mbps,4688 kB/s
8.219.209.176,443,47.245.125.52,SG,Singapore,隧道,239 ms,57 Mbps,7323 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,186 ms,69 Mbps,8848 kB/s
8.222.214.191,443,8.222.222.65,SG,Singapore,隧道,239 ms,50 Mbps,6487 kB/s
8.222.208.49,443,47.245.84.175,SG,Singapore,隧道,239 ms,43 Mbps,5546 kB/s
155.248.187.211,443,155.248.187.211,JP,Tokyo,中转,227 ms,33 Mbps,4301 kB/s
8.222.249.108,443,47.245.84.175,SG,Singapore,隧道,240 ms,51 Mbps,6547 kB/s
47.245.80.44,443,8.222.222.65,SG,Singapore,隧道,242 ms,54 Mbps,7008 kB/s
8.222.252.136,443,8.222.210.246,SG,Singapore,隧道,240 ms,49 Mbps,6372 kB/s
8.219.203.165,443,47.236.58.234,SG,Singapore,隧道,244 ms,49 Mbps,6307 kB/s
8.222.133.161,443,8.222.236.107,SG,Singapore,隧道,242 ms,56 Mbps,7191 kB/s
47.245.108.34,443,47.236.1.53,SG,Singapore,隧道,242 ms,55 Mbps,7145 kB/s
8.222.196.215,443,47.236.51.143,SG,Singapore,隧道,240 ms,52 Mbps,6757 kB/s
47.245.110.116,443,47.245.84.175,SG,Singapore,隧道,239 ms,52 Mbps,6716 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,242 ms,27 Mbps,3570 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,213 ms,62 Mbps,7996 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,27 ms,25 Mbps,3215 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,52 ms,92 Mbps,11878 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,169 ms,89 Mbps,11468 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,190 ms,40 Mbps,5167 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,65 ms,5 Mbps,650 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,229 ms,36 Mbps,4658 kB/s
8.219.106.236,443,47.236.1.53,SG,Singapore,隧道,242 ms,49 Mbps,6341 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,32 ms,30 Mbps,3920 kB/s
8.222.238.78,443,8.222.222.65,SG,Singapore,隧道,336 ms,47 Mbps,6046 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,134 ms,8 Mbps,1111 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,101 ms,44 Mbps,5712 kB/s
132.226.31.178,443,2a09:bac5:60ef:1846::26b:a4,US,Los Angeles,隧道,75 ms,43 Mbps,5567 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,165 ms,63 Mbps,8133 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,114 ms,48 Mbps,6156 kB/s
144.21.50.66,443,2606:f240:f00:83a7:0:b47:9959:dd4b,US,Frankfurt,隧道,232 ms,172 Mbps,22118 kB/s
8.219.206.22,443,8.222.210.246,SG,Singapore,隧道,240 ms,50 Mbps,6435 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,158 ms,419 Mbps,53657 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,145 ms,4 Mbps,609 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,191 ms,74 Mbps,9562 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,194 ms,34 Mbps,4383 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,58 ms,27 Mbps,3458 kB/s
