中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.67.232.136,443,3.68.128.205,DE,,隧道,108 ms,168 Mbps,21504 kB/s,21504.0
18.185.254.189,443,3.68.128.205,DE,,隧道,109 ms,167 Mbps,21401 kB/s,21401.0
3.68.62.122,443,3.68.128.205,DE,,隧道,107 ms,167 Mbps,21401 kB/s,21401.0
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,165 Mbps,21196 kB/s,21196.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,106 ms,164 Mbps,21094 kB/s,21094.0
130.162.34.70,443,2606:f240:f00:b2ed:0:e2d6:ff27:4715,US,Frankfurt,隧道,106 ms,164 Mbps,20992 kB/s,20992.0
18.192.93.64,443,3.68.128.205,DE,,隧道,111 ms,162 Mbps,20787 kB/s,20787.0
129.146.2.27,443,129.146.2.27,US,Los Angeles,中转,55 ms,144 Mbps,18534 kB/s,18534.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,137 Mbps,17612 kB/s,17612.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,222 ms,125 Mbps,16076 kB/s,16076.0
144.21.51.110,443,144.21.51.110,GB,London,中转,94 ms,121 Mbps,15564 kB/s,15564.0
144.24.191.239,443,2a0b:21c0:100a:1b0:0:3cab:9295:de98,DE,Frankfurt,隧道,106 ms,118 Mbps,15155 kB/s,15155.0
47.91.77.31,443,2a0b:21c0:100a:1b3:0:ce7e:6fb6:f584,DE,Frankfurt,隧道,196 ms,115 Mbps,14745 kB/s,14745.0
18.236.13.188,443,204.110.220.101,US,,隧道,65 ms,113 Mbps,14540 kB/s,14540.0
8.211.36.127,443,2a0b:21c0:100a:1b5:0:80d8:c971:fd7,DE,Frankfurt,隧道,174 ms,109 Mbps,14028 kB/s,14028.0
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,174 ms,108 Mbps,13926 kB/s,13926.0
130.162.161.221,443,2a0b:21c0:100a:1f9:0:fd3c:8a3:a88,DE,Frankfurt,隧道,200 ms,105 Mbps,13516 kB/s,13516.0
47.254.169.152,443,2606:f240:f00:eaf1:0:afe:c6a6:5427,US,Frankfurt,隧道,107 ms,105 Mbps,13516 kB/s,13516.0
141.148.246.54,443,2606:f240:f00:eaf1:0:6988:5f86:872d,US,Frankfurt,隧道,210 ms,100 Mbps,12800 kB/s,12800.0
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,125 ms,98 Mbps,12595 kB/s,12595.0
140.238.13.96,443,140.238.13.96,KR,Seoul,中转,174 ms,96 Mbps,12288 kB/s,12288.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,212 ms,96 Mbps,12288 kB/s,12288.0
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,106 ms,89 Mbps,11468 kB/s,11468.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,32 ms,88 Mbps,11264 kB/s,11264.0
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,269 ms,86 Mbps,11059 kB/s,11059.0
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,212 ms,86 Mbps,11059 kB/s,11059.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,178 ms,85 Mbps,10956 kB/s,10956.0
198.46.188.190,443,2a09:bac5:a5fb:7cd::c7:c,US,Buffalo,隧道,36 ms,84 Mbps,10752 kB/s,10752.0
64.110.88.46,443,64.110.88.46,KR,Seoul,中转,177 ms,83 Mbps,10649 kB/s,10649.0
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,190 ms,79 Mbps,10137 kB/s,10137.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,190 ms,76 Mbps,9819 kB/s,9819.0
8.219.144.168,443,8.219.144.168,SG,Singapore,中转,213 ms,76 Mbps,9779 kB/s,9779.0
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,249 ms,76 Mbps,9762 kB/s,9762.0
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,210 ms,76 Mbps,9743 kB/s,9743.0
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,210 ms,75 Mbps,9681 kB/s,9681.0
