中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,72 ms,36 Mbps,4623 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,69 ms,326 Mbps,41779 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,26 ms,729 Mbps,93388 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,101 ms,302 Mbps,38707 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,27 ms,736 Mbps,94208 kB/s
130.162.166.152,443,98.98.156.10,DE,Frankfurt,隧道,105 ms,203 Mbps,26009 kB/s
35.230.79.26,443,35.212.152.202,US,Seattle,隧道,66 ms,360 Mbps,46182 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,3 ms,33 Mbps,4337 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,102 ms,264 Mbps,33792 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,4 ms,71 Mbps,9193 kB/s
141.148.236.118,443,2a0b:21c0:100a:1b3:0:183a:e857:8d3e,DE,Frankfurt,隧道,102 ms,215 Mbps,27545 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,508 Mbps,65024 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,1 ms,316 Mbps,40550 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,230 Mbps,29491 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,109 Mbps,14028 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,84 ms,352 Mbps,45056 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,108 ms,221 Mbps,28364 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,78 ms,296 Mbps,37888 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,118 ms,238 Mbps,30515 kB/s
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,77 ms,396 Mbps,50790 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,401 Mbps,51404 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,93 ms,356 Mbps,45568 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,261 Mbps,33484 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::26a:77,US,Los Angeles,隧道,89 ms,71 Mbps,9171 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,45 Mbps,5886 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,70 ms,329 Mbps,42188 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,78 ms,46 Mbps,5995 kB/s
193.123.56.200,443,2a0b:21c0:1007:1c7:0:490a:33a8:a93,DE,Frankfurt,隧道,98 ms,122 Mbps,15667 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,282 Mbps,36147 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,97 ms,404 Mbps,51712 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,262 Mbps,33587 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,88 ms,47 Mbps,6053 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,155 ms,240 Mbps,30822 kB/s
132.226.31.178,443,2a09:bac5:60ea:1173::1bd:10f,US,Los Angeles,隧道,65 ms,46 Mbps,5983 kB/s
132.145.250.52,443,2a0b:21c0:1007:cb:0:3e25:5cb:9134,DE,Frankfurt,隧道,98 ms,137 Mbps,17612 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,101 ms,226 Mbps,28979 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,97 ms,43 Mbps,5623 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,99 ms,317 Mbps,40652 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,198 ms,87 Mbps,11161 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,213 ms,100 Mbps,12902 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,202 ms,54 Mbps,6952 kB/s
8.219.251.139,443,8.222.220.238,SG,Singapore,隧道,265 ms,55 Mbps,7087 kB/s
193.122.127.166,443,2607:a400:a:6c:0:4d2d:c359:5293,US,Los Angeles,隧道,209 ms,84 Mbps,10752 kB/s
138.2.61.180,443,104.28.206.113,JP,Osaka,隧道,215 ms,37 Mbps,4756 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,230 ms,1 Mbps,254 kB/s
64.110.89.211,443,2607:a400:a:16b:0:d274:5397:c5fc,US,Los Angeles,隧道,228 ms,67 Mbps,8618 kB/s
192.9.158.188,443,2a09:bac1:76a0:1cf0::1d3:98,US,San Jose,隧道,120 ms,217 Mbps,27852 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,193 ms,94 Mbps,12083 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,234 ms,89 Mbps,11468 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,98 ms,44 Mbps,5649 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,223 ms,47 Mbps,6022 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,92 ms,252 Mbps,32358 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,226 ms,84 Mbps,10854 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,262 ms,28 Mbps,3691 kB/s
141.147.32.163,443,98.98.156.26,DE,Frankfurt,隧道,132 ms,131 Mbps,16793 kB/s
