中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,87 ms,193 Mbps,24780 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,27 ms,181 Mbps,23244 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,67 ms,199 Mbps,25497 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,83 Mbps,10649 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,8 ms,36 Mbps,4734 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,511 Mbps,65433 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,93 Mbps,11980 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,66 Mbps,8458 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,75 ms,221 Mbps,28364 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,403 Mbps,51609 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,87 ms,183 Mbps,23449 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,204 Mbps,26112 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,73 ms,25 Mbps,3206 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,91 ms,10 Mbps,1351 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,90 ms,2 Mbps,373 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:1b,US,Los Angeles,隧道,75 ms,79 Mbps,10137 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,131 Mbps,16793 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,2 Mbps,348 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,107 ms,35 Mbps,4497 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,80 ms,125 Mbps,16076 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,104 ms,8 Mbps,1149 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,119 ms,84 Mbps,10752 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,136 Mbps,17510 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,39 Mbps,5059 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,109 ms,70 Mbps,9037 kB/s
192.18.134.231,443,192.18.134.231,US,Denver,中转,91 ms,208 Mbps,26624 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,89 ms,151 Mbps,19353 kB/s
158.101.212.88,443,2a0b:21c0:1007:1c7:0:9651:29c0:fc38,DE,Frankfurt,隧道,97 ms,152 Mbps,19456 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,49 Mbps,6327 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,140 Mbps,17920 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,109 ms,1 Mbps,220 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,77 ms,190 Mbps,24371 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,113 ms,206 Mbps,26419 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,48 Mbps,6215 kB/s
192.9.146.103,443,192.9.146.103,US,Denver,中转,85 ms,155 Mbps,19865 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,122 ms,8 Mbps,1073 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,104 ms,38 Mbps,4864 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,55 Mbps,7145 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,248 ms,34 Mbps,4400 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,231 ms,0 Mbps,87 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,180 ms,45 Mbps,5806 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,191 ms,15 Mbps,1971 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,121 ms,22 Mbps,2866 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,198 ms,0 Mbps,58 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,233 ms,57 Mbps,7335 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,210 ms,40 Mbps,5134 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,213 ms,75 Mbps,9602 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,241 ms,0 Mbps,20 kB/s
130.162.144.191,443,2a09:bac5:4736:155::22:123,KR,Seoul,隧道,229 ms,30 Mbps,3923 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,303 ms,53 Mbps,6822 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,212 ms,9 Mbps,1268 kB/s
129.151.148.35,443,129.151.148.35,AE,Singapore,中转,219 ms,30 Mbps,3857 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,207 ms,23 Mbps,3027 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,221 ms,67 Mbps,8593 kB/s
