中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,408 Mbps,52326 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,54 ms,10 Mbps,1395 kB/s
35.197.23.75,443,34.169.14.20,US,Seattle,隧道,22 ms,888 Mbps,113664 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,21 ms,69 Mbps,8877 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,13 ms,625 Mbps,80076 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,272 Mbps,34816 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,27 ms,2192 Mbps,280576 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,27 ms,848 Mbps,108544 kB/s
35.230.79.26,443,34.169.14.20,US,Seattle,隧道,55 ms,824 Mbps,105472 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,62 ms,379 Mbps,48537 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,40 ms,1928 Mbps,246784 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,39 ms,109 Mbps,14028 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,72 ms,256 Mbps,32768 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,33 ms,960 Mbps,122880 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,36 ms,742 Mbps,95027 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,6 ms,682 Mbps,87347 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,141 ms,690 Mbps,88371 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,146 Mbps,18739 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,68 ms,19 Mbps,2538 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,31 ms,318 Mbps,40755 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,372 Mbps,47616 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,189 Mbps,24268 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,406 kB/s
138.3.254.39,443,138.3.254.39,,Frankfurt,中转,0 ms,108 Mbps,13926 kB/s
8.219.201.245,443,8.219.201.245,,Singapore,中转,0 ms,88 Mbps,11264 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,145 ms,56 Mbps,7245 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,77 ms,100 Mbps,12902 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,168 ms,24 Mbps,3124 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,100 Mbps,12800 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,142 ms,112 Mbps,14336 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,39 Mbps,5085 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,183 ms,38 Mbps,4950 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,168 ms,108 Mbps,13824 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,102 Mbps,13107 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,261 ms,76 Mbps,9804 kB/s
150.230.63.93,443,150.230.63.93,47 Mbps,6134 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,84 ms,49 Mbps,6346 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,169 ms,75 Mbps,9682 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,157 ms,109 Mbps,14028 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,113 Mbps,14540 kB/s
129.154.48.56,443,2603:c024:e:6b88:c6b3:3a81:c5dd:f8b5,KR,Seoul,隧道,186 ms,46 Mbps,5949 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,154 ms,39 Mbps,5079 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,119 Mbps,15257 kB/s
129.159.252.245,443,163.123.193.9,DE,Frankfurt,隧道,157 ms,114 Mbps,14643 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,174 ms,108 Mbps,13926 kB/s
47.254.149.141,443,2a0b:21c0:100a:1b3:0:65eb:16b1:5960,DE,Frankfurt,隧道,160 ms,104 Mbps,13312 kB/s
141.147.17.146,443,2a0b:21c0:1007:ca:0:7aad:ffdc:bcae,DE,Frankfurt,隧道,155 ms,112 Mbps,14336 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,108 Mbps,13926 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,168 ms,80 Mbps,10342 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,159 ms,31 Mbps,4001 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,168 ms,75 Mbps,9621 kB/s
47.243.173.187,443,47.243.173.187,HK,Hong Kong,中转,179 ms,75 Mbps,9691 kB/s
103.137.63.3,443,111.247.41.22,TW,,隧道,134 ms,109 Mbps,14028 kB/s
130.162.191.212,443,2a0b:21c0:1007:c9:0:163c:eeef:2eb7,DE,Frankfurt,隧道,156 ms,104 Mbps,13312 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,169 ms,77 Mbps,9932 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,169 ms,73 Mbps,9463 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,236 ms,42 Mbps,5398 kB/s
144.24.165.129,443,98.98.156.6,AE,Frankfurt,隧道,153 ms,99 Mbps,12697 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,169 ms,94 Mbps,12083 kB/s
8.222.204.128,443,8.222.204.128,SG,Singapore,中转,169 ms,100 Mbps,12800 kB/s
141.147.190.75,443,2602:ffe4:407:20d9:0:24:849:d99f,SG,Singapore,隧道,180 ms,97 Mbps,12492 kB/s
193.122.110.171,443,193.122.110.171,KR,Tokyo,中转,132 ms,43 Mbps,5575 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,33 ms,559 Mbps,71577 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,170 ms,108 Mbps,13824 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,169 ms,86 Mbps,11059 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,185 ms,34 Mbps,4450 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,174 ms,0 Mbps,87 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,132 ms,137 Mbps,17612 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,21 ms,450 Mbps,57651 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,172 ms,83 Mbps,10649 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,159 ms,100 Mbps,12800 kB/s
54.203.85.46,443,204.110.220.52,US,,隧道,132 ms,692 Mbps,88678 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,37 ms,472 Mbps,60518 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,160 ms,97 Mbps,12492 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,156 ms,95 Mbps,12185 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,58 ms,381 Mbps,48844 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,157 ms,121 Mbps,15564 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,161 ms,114 Mbps,14643 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,158 ms,118 Mbps,15155 kB/s
