中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,52 ms,436 Mbps,55808 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,276 Mbps,35430 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,324 Mbps,41574 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,390 Mbps,49971 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,86 ms,431 Mbps,55193 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,552 Mbps,70656 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,184 Mbps,23552 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,11 ms,474 Mbps,60723 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,52 ms,438 Mbps,56115 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,48 ms,68 Mbps,8722 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,54 ms,415 Mbps,53145 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,175 Mbps,22425 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,61 ms,396 Mbps,50790 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,56 ms,414 Mbps,53043 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,34 ms,650 Mbps,83251 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,57 ms,428 Mbps,54886 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,51 ms,440 Mbps,56422 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,52 ms,51 Mbps,6551 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,281 Mbps,36044 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,51 ms,436 Mbps,55808 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,18 ms,86 Mbps,11059 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,54 ms,49 Mbps,6328 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,340 Mbps,43520 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,128 ms,80 Mbps,10240 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,62 ms,332 Mbps,42496 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,125 ms,438 Mbps,56115 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,114 ms,44 Mbps,5687 kB/s
132.226.31.178,443,2a09:bac5:60e9:1846::26b:8f,US,Los Angeles,隧道,52 ms,49 Mbps,6355 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,194 ms,76 Mbps,9742 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,109 ms,104 Mbps,13414 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,170 Mbps,21811 kB/s
130.61.11.98,443,2a0b:21c0:100a:1b7:0:dc10:571a:55da,DE,Frankfurt,隧道,110 ms,175 Mbps,22425 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,55 ms,48 Mbps,6185 kB/s
