中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,30 ms,672 Mbps,86118 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,86 ms,392 Mbps,50176 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,372 Mbps,47718 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,60 ms,87 Mbps,11161 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,79 ms,151 Mbps,19353 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,256 Mbps,32870 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,77 ms,284 Mbps,36352 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,29 ms,625 Mbps,80076 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,100 ms,105 Mbps,13516 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,512 Mbps,65536 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,231 ms,29 Mbps,3721 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,72 ms,286 Mbps,36659 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,93 ms,39 Mbps,5068 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,95 ms,206 Mbps,26419 kB/s
34.82.76.253,443,34.19.48.92,US,Seattle,隧道,80 ms,375 Mbps,48025 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,102 ms,438 Mbps,56115 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,299 Mbps,38297 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,92 ms,22 Mbps,2864 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,240 Mbps,30720 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,67 ms,430 Mbps,55091 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,78 ms,345 Mbps,44236 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,96 ms,203 Mbps,26009 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,98 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,131 ms,231 Mbps,29593 kB/s
