中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,332 Mbps,42496 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,619 Mbps,79257 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,30 ms,31 Mbps,3994 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,83 ms,337 Mbps,43212 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,81 ms,285 Mbps,36556 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,52 ms,2 Mbps,276 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,93 ms,13 Mbps,1676 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,234 Mbps,30003 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,85 ms,259 Mbps,33177 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,20 ms,33 Mbps,4263 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,231 Mbps,29593 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,75 ms,292 Mbps,37376 kB/s
130.61.23.77,443,130.61.23.77,DE,211 Mbps,27033 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,52 ms,44 Mbps,5740 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,65 ms,346 Mbps,44339 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,88 ms,352 Mbps,45158 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,80 ms,23 Mbps,2957 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,71 ms,262 Mbps,33587 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,97 ms,34 Mbps,4402 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:61,,Los Angeles,隧道,0 ms,69 Mbps,8889 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,185 ms,112 Mbps,14438 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,306 Mbps,39219 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,34 ms,66 Mbps,8560 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,29 Mbps,3722 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,312 Mbps,39936 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,100 ms,233 Mbps,29900 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,95 ms,52 Mbps,6712 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,24 ms,33 Mbps,4341 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,71 ms,173 Mbps,22220 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,11 Mbps,1460 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,70 ms,436 Mbps,55910 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,226 ms,2 Mbps,272 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,77 ms,246 Mbps,31539 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,94 ms,400 Mbps,51302 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,76 ms,24 Mbps,3174 kB/s
150.230.148.47,443,2a0b:21c0:100a:1fa:0:69ab:f312:811b,DE,Frankfurt,隧道,111 ms,219 Mbps,28057 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,210 ms,34 Mbps,4469 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,196 ms,90 Mbps,11571 kB/s
144.22.252.124,443,144.22.252.124,BR,S
