中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.219.156.148,443,8.219.156.148,SG,Singapore,中转,323 ms,52 Mbps,6663 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,59 ms,21 Mbps,2714 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,63 ms,276 Mbps,35430 kB/s
47.236.116.182,443,47.236.116.182,SG,Singapore,中转,251 ms,49 Mbps,6293 kB/s
8.219.3.53,443,8.219.3.53,SG,Singapore,中转,249 ms,49 Mbps,6272 kB/s
129.151.152.254,443,129.151.152.254,AE,Amsterdam,中转,215 ms,27 Mbps,3532 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,34 ms,312 Mbps,39936 kB/s
35.199.37.84,443,35.199.37.84,US,,中转,47 ms,762 Mbps,97587 kB/s
13.57.249.176,443,13.57.249.176,US,,中转,125 ms,324 Mbps,41472 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,33 ms,219 Mbps,28057 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,251 ms,53 Mbps,6858 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,27 ms,800 Mbps,102400 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,112 ms,169 Mbps,21708 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,184 ms,214 Mbps,27443 kB/s
204.110.220.3,443,204.110.220.107,US,,隧道,60 ms,232 Mbps,29798 kB/s
18.217.204.236,443,18.217.204.236,US,,中转,39 ms,615 Mbps,78745 kB/s
18.237.22.14,443,18.237.22.14,US,,中转,107 ms,372 Mbps,47616 kB/s
103.137.63.3,443,61.224.90.115,TW,,隧道,192 ms,82 Mbps,10547 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,45 ms,644 Mbps,82534 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,97 ms,165 Mbps,21196 kB/s
3.135.201.228,443,3.135.201.228,US,,中转,139 ms,322 Mbps,41267 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,106 ms,171 Mbps,21913 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,208 ms,3 Mbps,437 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,111 ms,158 Mbps,20275 kB/s
158.180.84.48,443,104.28.207.57,KR,Seoul,隧道,176 ms,100 Mbps,12800 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,107 ms,201 Mbps,25804 kB/s
146.70.175.118,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,108 ms,192 Mbps,24576 kB/s
8.210.9.129,443,8.210.9.129,HK,Hong Kong,中转,196 ms,69 Mbps,8859 kB/s
140.238.120.137,443,2a0b:21c0:100a:1fa:0:1847:9eb4:6951,DE,Frankfurt,隧道,108 ms,108 Mbps,13926 kB/s
146.70.175.162,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,103 ms,171 Mbps,21913 kB/s
132.226.10.65,443,132.226.10.65,JP,Tokyo,中转,163 ms,37 Mbps,4826 kB/s
192.9.250.249,443,2603:c024:c002:be00:eef4:7104:89c5:58f1,US,San Jose,隧道,52 ms,47 Mbps,6108 kB/s
140.83.53.190,443,140.83.53.190,JP,Osaka,中转,216 ms,40 Mbps,5210 kB/s
8.217.207.60,443,8.217.207.60,HK,Hong Kong,中转,191 ms,63 Mbps,8087 kB/s
193.122.55.74,443,2a0b:21c0:1007:1c9:0:afd3:e351:4f7d,DE,Frankfurt,隧道,106 ms,172 Mbps,22118 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,459 Mbps,58777 kB/s
146.70.175.115,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,101 ms,200 Mbps,25702 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,251 ms,54 Mbps,7025 kB/s
54.203.85.46,443,204.110.220.163,US,,隧道,60 ms,339 Mbps,43417 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,50 ms,151 Mbps,19353 kB/s
8.219.142.229,443,8.219.142.229,SG,Singapore,中转,255 ms,55 Mbps,7158 kB/s
