中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,219 ms,4 Mbps,568 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,229 ms,29 Mbps,3796 kB/s
8.212.48.236,443,47.76.21.99,HK,Hong Kong,隧道,251 ms,0 Mbps,4 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,224 ms,57 Mbps,7374 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,209 ms,26 Mbps,3378 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,261 ms,84 Mbps,10854 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,267 ms,17 Mbps,2199 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,82 ms,0 Mbps,14 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,30 ms,59 Mbps,7658 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,70 ms,81 Mbps,10444 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,228 ms,92 Mbps,11776 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,133 ms,43 Mbps,5505 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,61 ms,21 Mbps,2713 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,135 ms,25 Mbps,3276 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,186 ms,176 Mbps,22528 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,33 ms,65 Mbps,8328 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,236 ms,70 Mbps,8963 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,214 ms,81 Mbps,10444 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,239 ms,87 Mbps,11161 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,95 ms,44 Mbps,5729 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,88 ms,4 Mbps,610 kB/s
143.47.189.4,443,2a0b:21c0:1007:c9:0:bec8:db92:5dea,DE,Frankfurt,隧道,115 ms,142 Mbps,18227 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,103 ms,38 Mbps,4895 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,117 ms,6 Mbps,821 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,247 ms,108 Mbps,13824 kB/s
158.101.208.79,443,2a0b:21c0:1007:cb:0:9ff9:b064:1752,DE,Frankfurt,隧道,105 ms,266 Mbps,34099 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,89 ms,116 Mbps,14950 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,112 ms,47 Mbps,6091 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,120 ms,168 Mbps,21504 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,246 ms,36 Mbps,4619 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,229 ms,38 Mbps,4884 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,232 ms,76 Mbps,9818 kB/s
