中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,494 Mbps,63283 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,274 Mbps,35123 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,264 Mbps,33894 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,7 ms,7 Mbps,973 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,70 ms,332 Mbps,42598 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,344 Mbps,44134 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,75 ms,284 Mbps,36352 kB/s
193.122.197.111,443,193.122.197.111,412 Mbps,52736 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,236 Mbps,30208 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,88 ms,166 Mbps,21299 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,18 Mbps,2324 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,69 ms,316 Mbps,40550 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,60 ms,51 Mbps,6643 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,50 ms,38 Mbps,4875 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,223 Mbps,28569 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,281 Mbps,36044 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,305 Mbps,39116 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,45 Mbps,5773 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,73 ms,62 Mbps,8013 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,34 ms,384 Mbps,49254 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,109 ms,67 Mbps,8657 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,35 ms,54 Mbps,6976 kB/s
