中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,24 ms,848 Mbps,108544 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,18 ms,54 Mbps,6950 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,82 ms,332 Mbps,42496 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,583 Mbps,74649 kB/s
129.146.46.164,443,129.146.46.164,354 Mbps,45363 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,2296 Mbps,293888 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,13 ms,912 Mbps,116736 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,267 Mbps,34201 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,49 ms,864 Mbps,110592 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,5 ms,680 Mbps,87040 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,160 ms,40 Mbps,5196 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,11 ms,684 Mbps,87552 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,155 ms,127 Mbps,16281 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,162 ms,80 Mbps,10342 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,15 ms,360 Mbps,46080 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,24 ms,864 Mbps,110592 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,74 ms,4 Mbps,575 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,188 ms,123 Mbps,15769 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,155 ms,47 Mbps,6041 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,149 Mbps,19148 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,450 Mbps,57651 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,169 ms,161 Mbps,20684 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,89 ms,44 Mbps,5722 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,214 Mbps,27443 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,123 ms,196 Mbps,25088 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,146 ms,160 Mbps,20480 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,189 ms,3 Mbps,464 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,85 ms,452 Mbps,57958 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,166 ms,42 Mbps,5436 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,149 ms,42 Mbps,5459 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,181 ms,114 Mbps,14643 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,188 ms,21 Mbps,2773 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,165 ms,103 Mbps,13209 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,165 ms,38 Mbps,4991 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,167 ms,40 Mbps,5168 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,224 ms,75 Mbps,9622 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,150 ms,112 Mbps,14336 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,183 ms,3 Mbps,469 kB/s
130.162.144.191,443,2a09:bac5:4732:2646::3d0:21,KR,Hong Kong,隧道,145 ms,35 Mbps,4606 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,168 ms,42 Mbps,5392 kB/s
129.154.207.203,443,2a09:bac1:3f00::3d0:5b,KR,Hong Kong,隧道,146 ms,134 Mbps,17203 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,164 ms,42 Mbps,5376 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,166 ms,66 Mbps,8514 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,161 ms,4 Mbps,591 kB/s
131.186.17.132,443,131.186.17.132,KR,Hong Kong,中转,151 ms,44 Mbps,5725 kB/s
168.138.149.17,443,168.138.149.17,BR,S
