中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,952 Mbps,121856 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,52 ms,393 Mbps,50380 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,49 ms,53 Mbps,6820 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,59 ms,285 Mbps,36556 kB/s
23.94.182.23,443,23.94.182.23,US,Buffalo,中转,41 ms,168 Mbps,21504 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,188 Mbps,24166 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,72 ms,365 Mbps,46796 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,53 ms,412 Mbps,52736 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,52 ms,47 Mbps,6143 kB/s
34.154.80.162,443,2a0b:21c0:100a:1b2:0:fe21:8313:e9ca,DE,Frankfurt,隧道,120 ms,97 Mbps,12492 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,320 Mbps,40960 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,92 ms,40 Mbps,5124 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,80 ms,765 Mbps,97996 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,55 ms,318 Mbps,40755 kB/s
35.230.79.26,443,35.247.68.177,US,Seattle,隧道,98 ms,424 Mbps,54272 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,115 ms,153 Mbps,19660 kB/s
43.153.80.208,443,43.153.80.208,440 Mbps,56320 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,9 Mbps,1243 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,115 ms,41 Mbps,5270 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,51 ms,5 Mbps,698 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,411 Mbps,52633 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,81 ms,682 Mbps,87347 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,55 ms,418 Mbps,53555 kB/s
198.46.188.190,443,2a09:bac1:76e0:118::c7:e,US,Buffalo,隧道,88 ms,91 Mbps,11673 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,121 ms,126 Mbps,16179 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,81 ms,49 Mbps,6320 kB/s
141.147.75.193,443,2606:f240:f00:83a7:0:e9fb:c062:b757,US,Frankfurt,隧道,115 ms,155 Mbps,19865 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,103 ms,183 Mbps,23449 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,78 ms,307 Mbps,39321 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,293 Mbps,37580 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,73 ms,422 Mbps,54067 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,55 ms,298 Mbps,38195 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,189 ms,88 Mbps,11366 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,108 Mbps,13926 kB/s
34.147.28.91,443,23.236.112.222,AE,Frankfurt,隧道,104 ms,120 Mbps,15462 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,171 Mbps,21913 kB/s
158.101.164.251,443,158.101.164.251,DE,Frankfurt,中转,127 ms,180 Mbps,23142 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,107 ms,200 Mbps,25600 kB/s
34.118.80.175,443,2a0b:21c0:1007:c7:0:dd3a:4d3e:fd93,DE,Frankfurt,隧道,118 ms,174 Mbps,22323 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,109 ms,44 Mbps,5641 kB/s
35.197.23.75,443,35.247.68.177,US,Seattle,隧道,55 ms,441 Mbps,56524 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,248 ms,56 Mbps,7227 kB/s
18.163.233.64,443,18.163.233.64,HK,Hong Kong,中转,204 ms,79 Mbps,10137 kB/s
129.154.50.220,443,129.154.50.220,KR,Hong Kong,中转,182 ms,84 Mbps,10854 kB/s
152.70.49.180,443,2a0b:21c0:100a:1b1:0:8c00:99dd:29dc,DE,Frankfurt,隧道,125 ms,87 Mbps,11161 kB/s
8.222.225.193,443,8.222.225.193,SG,Singapore,中转,253 ms,5 Mbps,657 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,254 ms,49 Mbps,6356 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,251 ms,55 Mbps,7078 kB/s
